date,exdate,strike_price,cp_flag,best_bid,best_offer,am_settlement
2026-01-29,2026-01-30,2400000.0,C,4571.3,4589.4,1
2026-01-29,2026-01-30,2600000.0,C,4371.4,4389.5,1
2026-01-29,2026-01-30,2800000.0,C,4171.5,4189.6,1
2026-01-29,2026-01-30,3000000.0,C,3971.5,3989.6,1
2026-01-29,2026-01-30,3200000.0,C,3771.6,3789.7,1
2026-01-29,2026-01-30,3400000.0,C,3571.7,3589.8,1
2026-01-29,2026-01-30,3600000.0,C,3371.8,3389.9,1
2026-01-29,2026-01-30,3800000.0,C,3171.9,3190.0,1
2026-01-29,2026-01-30,3900000.0,C,3071.9,3090.0,1
2026-01-29,2026-01-30,4000000.0,C,2972.0,2990.1,1
2026-01-29,2026-01-30,4100000.0,C,2872.0,2890.1,1
2026-01-29,2026-01-30,4200000.0,C,2772.1,2790.2,1
2026-01-29,2026-01-30,4300000.0,C,2672.1,2690.2,1
2026-01-29,2026-01-30,4400000.0,C,2572.2,2590.3,1
2026-01-29,2026-01-30,4500000.0,C,2472.2,2490.3,1
2026-01-29,2026-01-30,4600000.0,C,2372.2,2390.3,1
2026-01-29,2026-01-30,4700000.0,C,2272.3,2290.4,1
2026-01-29,2026-01-30,4800000.0,C,2172.4,2190.4,1
2026-01-29,2026-01-30,4850000.0,C,2122.3,2140.4,1
2026-01-29,2026-01-30,4900000.0,C,2072.4,2090.5,1
2026-01-29,2026-01-30,4950000.0,C,2022.4,2039.5,1
2026-01-29,2026-01-30,4975000.0,C,1997.4,2015.5,1
2026-01-29,2026-01-30,5000000.0,C,1975.0,1990.5,1
2026-01-29,2026-01-30,5025000.0,C,1947.4,1965.5,1
2026-01-29,2026-01-30,5050000.0,C,1922.4,1940.5,1
2026-01-29,2026-01-30,5075000.0,C,1897.4,1915.5,1
2026-01-29,2026-01-30,5100000.0,C,1872.5,1890.6,1
2026-01-29,2026-01-30,5110000.0,C,1862.5,1880.6,1
2026-01-29,2026-01-30,5120000.0,C,1852.5,1870.6,1
2026-01-29,2026-01-30,5125000.0,C,1847.5,1865.6,1
2026-01-29,2026-01-30,5130000.0,C,1842.5,1860.6,1
2026-01-29,2026-01-30,5140000.0,C,1832.5,1850.6,1
2026-01-29,2026-01-30,5150000.0,C,1822.5,1840.6,1
2026-01-29,2026-01-30,5160000.0,C,1812.5,1830.6,1
2026-01-29,2026-01-30,5170000.0,C,1802.5,1819.6,1
