date,exdate,strike_price,cp_flag,best_bid,best_offer,am_settlement
2026-05-18,2026-05-19,2800000.0,C,4562.0,4581.8,1
2026-05-18,2026-05-19,3000000.0,C,4362.0,4382.1,1
2026-05-18,2026-05-19,3200000.0,C,4162.0,4181.7,1
2026-05-18,2026-05-19,3400000.0,C,3962.0,3981.9,1
2026-05-18,2026-05-19,3600000.0,C,3762.1,3782.1,1
2026-05-18,2026-05-19,3800000.0,C,3562.1,3581.0,1
2026-05-18,2026-05-19,4000000.0,C,3362.1,3382.0,1
2026-05-18,2026-05-19,4200000.0,C,3162.1,3182.1,1
2026-05-18,2026-05-19,4400000.0,C,2962.1,2982.0,1
2026-05-18,2026-05-19,4600000.0,C,2762.2,2782.2,1
2026-05-18,2026-05-19,4800000.0,C,2562.2,2582.3,1
2026-05-18,2026-05-19,5000000.0,C,2362.2,2381.9,1
2026-05-18,2026-05-19,5200000.0,C,2162.2,2182.2,1
2026-05-18,2026-05-19,5400000.0,C,1962.2,1982.1,1
2026-05-18,2026-05-19,5500000.0,C,1862.3,1882.3,1
2026-05-18,2026-05-19,5600000.0,C,1762.5,1782.2,1
2026-05-18,2026-05-19,5700000.0,C,1662.3,1682.4,1
2026-05-18,2026-05-19,5800000.0,C,1562.3,1582.2,1
2026-05-18,2026-05-19,5900000.0,C,1462.3,1482.4,1
2026-05-18,2026-05-19,6000000.0,C,1362.3,1382.3,1
2026-05-18,2026-05-19,6025000.0,C,1337.3,1357.3,1
2026-05-18,2026-05-19,6050000.0,C,1312.3,1331.0,1
2026-05-18,2026-05-19,6075000.0,C,1287.3,1307.0,1
2026-05-18,2026-05-19,6100000.0,C,1262.3,1282.2,1
2026-05-18,2026-05-19,6125000.0,C,1237.3,1256.6,1
2026-05-18,2026-05-19,6150000.0,C,1212.3,1232.2,1
2026-05-18,2026-05-19,6175000.0,C,1187.3,1207.3,1
2026-05-18,2026-05-19,6200000.0,C,1162.3,1182.3,1
2026-05-18,2026-05-19,6225000.0,C,1137.3,1157.4,1
2026-05-18,2026-05-19,6250000.0,C,1112.3,1131.3,1
2026-05-18,2026-05-19,6275000.0,C,1087.3,1107.4,1
2026-05-18,2026-05-19,6300000.0,C,1062.3,1081.3,1
2026-05-18,2026-05-19,6325000.0,C,1037.4,1057.3,1
2026-05-18,2026-05-19,6350000.0,C,1012.4,1032.4,1
2026-05-18,2026-05-19,6375000.0,C,987.4,1007.3,1
2026-05-18,2026-05-19,6400000.0,C,962.4,982.3,1
2026-05-18,2026-05-19,6425000.0,C,937.4,957.3,1
2026-05-18,2026-05-19,6450000.0,C,912.4,932.5,1
2026-05-18,2026-05-19,6475000.0,C,887.4,907.1,1
2026-05-18,2026-05-19,6500000.0,C,862.4,882.1,1
2026-05-18,2026-05-19,6525000.0,C,837.4,857.4,1
2026-05-18,2026-05-19,6550000.0,C,812.4,832.4,1
2026-05-18,2026-05-19,6575000.0,C,787.4,807.3,1
2026-05-18,2026-05-19,6600000.0,C,762.4,781.6,1
2026-05-18,2026-05-19,6600000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6625000.0,C,737.4,757.3,1
2026-05-18,2026-05-19,6625000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6650000.0,C,712.8,732.3,1
2026-05-18,2026-05-19,6650000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6675000.0,C,687.4,706.2,1
2026-05-18,2026-05-19,6675000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6700000.0,C,662.4,681.2,1
2026-05-18,2026-05-19,6700000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6725000.0,C,637.4,657.6,1
2026-05-18,2026-05-19,6725000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6750000.0,C,619.6,623.3,1
2026-05-18,2026-05-19,6750000.0,P,0.05,0.1,1
2026-05-18,2026-05-19,6775000.0,C,594.6,598.3,1
2026-05-18,2026-05-19,6775000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6780000.0,C,589.6,593.3,1
2026-05-18,2026-05-19,6780000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6790000.0,C,579.6,583.3,1
2026-05-18,2026-05-19,6790000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6800000.0,C,569.6,573.3,1
2026-05-18,2026-05-19,6800000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6810000.0,C,559.7,563.3,1
2026-05-18,2026-05-19,6810000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6820000.0,C,549.7,553.3,1
2026-05-18,2026-05-19,6820000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6825000.0,C,544.7,548.3,1
2026-05-18,2026-05-19,6825000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6830000.0,C,539.7,543.3,1
2026-05-18,2026-05-19,6830000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6840000.0,C,529.7,533.3,1
2026-05-18,2026-05-19,6840000.0,P,0.05,0.15,1
2026-05-18,2026-05-19,6850000.0,C,519.9,523.4,1
2026-05-18,2026-05-19,6850000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6860000.0,C,509.8,513.4,1
2026-05-18,2026-05-19,6860000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6870000.0,C,499.9,503.4,1
2026-05-18,2026-05-19,6870000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6875000.0,C,494.8,498.4,1
2026-05-18,2026-05-19,6875000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6880000.0,C,489.8,493.4,1
2026-05-18,2026-05-19,6880000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6890000.0,C,479.9,483.4,1
2026-05-18,2026-05-19,6890000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6900000.0,C,469.8,473.4,1
2026-05-18,2026-05-19,6900000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6910000.0,C,459.8,463.4,1
2026-05-18,2026-05-19,6910000.0,P,0.1,0.15,1
2026-05-18,2026-05-19,6920000.0,C,450.0,453.4,1
2026-05-18,2026-05-19,6920000.0,P,0.1,0.2,1
2026-05-18,2026-05-19,6925000.0,C,445.0,448.4,1
2026-05-18,2026-05-19,6925000.0,P,0.1,0.2,1
2026-05-18,2026-05-19,6930000.0,C,439.9,443.4,1
2026-05-18,2026-05-19,6930000.0,P,0.1,0.2,1
